individuals,video,travel,camera,video_number,Day
individual1,GX012_1,0.1157069646528405,1,12,1.0
individual10,GX012_1,0.0097486246832949,1,12,1.0
individual11,GX012_1,0.0098220681113362,1,12,1.0
individual12,GX012_1,0.0107491718395393,1,12,1.0
individual13,GX012_1,0.0126855927415138,1,12,1.0
individual14,GX012_1,0.011858819163701,1,12,1.0
individual15,GX012_1,0.0115448258610987,1,12,1.0
individual16,GX012_1,0.0068569339666659,1,12,1.0
individual17,GX012_1,0.0117297886124532,1,12,1.0
individual18,GX012_1,0.0118365655252953,1,12,1.0
individual2,GX012_1,0.0985353618081548,1,12,1.0
individual3,GX012_1,0.0712351240929264,1,12,1.0
individual4,GX012_1,0.048268453499021,1,12,1.0
individual5,GX012_1,0.0217830021782664,1,12,1.0
individual6,GX012_1,0.0139703080901611,1,12,1.0
individual7,GX012_1,0.0123388323850101,1,12,1.0
individual8,GX012_1,0.0111565913156203,1,12,1.0
individual9,GX012_1,0.0074352388226965,1,12,1.0
individual19,GX012_1,0.0084892350658947,1,12,1.0
individual20,GX012_1,0.1218185320767513,1,12,1.0
individual1,GX013_1,0.0533310895838795,1,13,1.5
individual10,GX013_1,0.0074060322786271,1,13,1.5
individual11,GX013_1,0.005496604114282,1,13,1.5
individual12,GX013_1,0.0076977709639096,1,13,1.5
individual13,GX013_1,0.0045767892745872,1,13,1.5
individual14,GX013_1,0.0067187611697961,1,13,1.5
individual15,GX013_1,0.0069700583673593,1,13,1.5
individual16,GX013_1,0.005826918989739,1,13,1.5
individual17,GX013_1,0.0082109230287914,1,13,1.5
individual18,GX013_1,0.0058585252037122,1,13,1.5
individual2,GX013_1,0.0547745215583796,1,13,1.5
individual3,GX013_1,0.0224280031590837,1,13,1.5
individual4,GX013_1,0.0118548771505662,1,13,1.5
individual5,GX013_1,0.0082620592914519,1,13,1.5
individual6,GX013_1,0.0077086106681212,1,13,1.5
individual7,GX013_1,0.0058019600294017,1,13,1.5
individual8,GX013_1,0.0080090924843324,1,13,1.5
individual9,GX013_1,0.0060538212563115,1,13,1.5
individual19,GX013_1,0.0084946617527606,1,13,1.5
individual20,GX013_1,0.0606990227120698,1,13,1.5
individual1,GX014_1,0.0788107139406963,1,14,2.0
individual10,GX014_1,0.0123835525177394,1,14,2.0
individual11,GX014_1,0.0042100077168794,1,14,2.0
individual12,GX014_1,0.0071358534675676,1,14,2.0
individual13,GX014_1,0.0084525139969976,1,14,2.0
individual14,GX014_1,0.0111810894878059,1,14,2.0
individual15,GX014_1,0.0060119137108312,1,14,2.0
individual16,GX014_1,0.013551578696579,1,14,2.0
individual17,GX014_1,0.0121888657790081,1,14,2.0
individual18,GX014_1,0.0094736645809801,1,14,2.0
individual2,GX014_1,0.0708108114720205,1,14,2.0
individual3,GX014_1,0.0597727916679395,1,14,2.0
individual4,GX014_1,0.0309230898662045,1,14,2.0
individual5,GX014_1,0.0077171084375135,1,14,2.0
individual6,GX014_1,0.0119141533494813,1,14,2.0
individual7,GX014_1,0.0111455622835779,1,14,2.0
individual8,GX014_1,0.0101016010851992,1,14,2.0
individual9,GX014_1,0.0111526762277125,1,14,2.0
individual19,GX014_1,0.0146177210217484,1,14,2.0
individual20,GX014_1,0.0193029702798569,1,14,2.0
individual1,GX015_1,0.1250077286059712,1,15,2.5
individual10,GX015_1,0.005886156450209,1,15,2.5
individual11,GX015_1,0.0109717962012284,1,15,2.5
individual12,GX015_1,0.0086263590938382,1,15,2.5
individual13,GX015_1,0.0107336565625847,1,15,2.5
individual14,GX015_1,0.0138150966072035,1,15,2.5
individual15,GX015_1,0.0079293663602518,1,15,2.5
individual16,GX015_1,0.0202018423177564,1,15,2.5
individual17,GX015_1,0.006487635928639,1,15,2.5
individual18,GX015_1,0.0091427822406709,1,15,2.5
individual2,GX015_1,0.1330252565461097,1,15,2.5
individual3,GX015_1,0.0716119081785366,1,15,2.5
individual4,GX015_1,0.0360260624245287,1,15,2.5
individual5,GX015_1,0.0163832129633651,1,15,2.5
individual6,GX015_1,0.0125010718750536,1,15,2.5
individual7,GX015_1,0.0113009316694935,1,15,2.5
individual8,GX015_1,0.0143130357436736,1,15,2.5
individual9,GX015_1,0.0077514604432051,1,15,2.5
individual19,GX015_1,0.0109314205872139,1,15,2.5
individual20,GX015_1,0.0045483649750046,1,15,2.5
individual1,GX016_1,0.0458626495071122,1,16,3.0
individual10,GX016_1,0.0054326068119375,1,16,3.0
individual11,GX016_1,0.0062521057181772,1,16,3.0
individual12,GX016_1,0.0054949956656043,1,16,3.0
individual13,GX016_1,0.0071191270713245,1,16,3.0
individual14,GX016_1,0.0059648201757753,1,16,3.0
individual15,GX016_1,0.0079862670169906,1,16,3.0
individual16,GX016_1,0.0091842627293325,1,16,3.0
individual17,GX016_1,0.0067545468121984,1,16,3.0
individual18,GX016_1,0.0055285993857208,1,16,3.0
individual2,GX016_1,0.0453930405686176,1,16,3.0
individual3,GX016_1,0.0299464535771628,1,16,3.0
individual4,GX016_1,0.0105050764769517,1,16,3.0
individual5,GX016_1,0.0061410807321529,1,16,3.0
individual6,GX016_1,0.0133347148808185,1,16,3.0
individual7,GX016_1,0.0084070387864107,1,16,3.0
individual8,GX016_1,0.0130073592458032,1,16,3.0
individual9,GX016_1,0.0069784879085306,1,16,3.0
individual19,GX016_1,0.0101319781297052,1,16,3.0
individual20,GX016_1,0.0114216110358714,1,16,3.0
individual1,GX023_2,0.1864649824022764,2,23,1.0
individual10,GX023_2,0.0146971068972515,2,23,1.0
individual11,GX023_2,0.011006790526332,2,23,1.0
individual12,GX023_2,0.0070125860294493,2,23,1.0
individual13,GX023_2,0.0146496118129392,2,23,1.0
individual14,GX023_2,0.0132842143118487,2,23,1.0
individual15,GX023_2,0.0141642450382528,2,23,1.0
individual16,GX023_2,0.0116547124427243,2,23,1.0
individual17,GX023_2,0.0111305416401769,2,23,1.0
individual18,GX023_2,0.0085827368684307,2,23,1.0
individual2,GX023_2,0.1726113066263804,2,23,1.0
individual3,GX023_2,0.1318782036576162,2,23,1.0
individual4,GX023_2,0.0781011346505527,2,23,1.0
individual5,GX023_2,0.0357312194046395,2,23,1.0
individual6,GX023_2,0.01863338784864,2,23,1.0
individual7,GX023_2,0.0245709953967462,2,23,1.0
individual8,GX023_2,0.0116716867382193,2,23,1.0
individual9,GX023_2,0.0123397835922115,2,23,1.0
individual19,GX023_2,0.0084702453592739,2,23,1.0
individual20,GX023_2,0.0332602227840431,2,23,1.0
individual1,GX024_2,0.1538945528346523,2,24,1.5
individual10,GX024_2,0.0068155498494826,2,24,1.5
individual11,GX024_2,0.0123508683118148,2,24,1.5
individual12,GX024_2,0.0061048665315205,2,24,1.5
individual13,GX024_2,0.0108006339593222,2,24,1.5
individual14,GX024_2,0.0063641568374385,2,24,1.5
individual15,GX024_2,0.0071599868456959,2,24,1.5
individual16,GX024_2,0.0095462223542127,2,24,1.5
individual17,GX024_2,0.0124978443126007,2,24,1.5
individual18,GX024_2,0.0113479566979592,2,24,1.5
individual2,GX024_2,0.0734772993922147,2,24,1.5
individual3,GX024_2,0.043911910110225,2,24,1.5
individual4,GX024_2,0.0315223023286056,2,24,1.5
individual5,GX024_2,0.0182154119893499,2,24,1.5
individual6,GX024_2,0.0114750203144013,2,24,1.5
individual7,GX024_2,0.0083978634416626,2,24,1.5
individual8,GX024_2,0.0121386157513983,2,24,1.5
individual9,GX024_2,0.0091200197127522,2,24,1.5
individual19,GX024_2,0.0083245246890969,2,24,1.5
individual20,GX024_2,0.0065134227451469,2,24,1.5
individual1,GX025_2,0.172958092420731,2,25,2.0
individual10,GX025_2,0.0093834123451344,2,25,2.0
individual11,GX025_2,0.0136750288589731,2,25,2.0
individual12,GX025_2,0.0092633492951851,2,25,2.0
individual13,GX025_2,0.0130488956319123,2,25,2.0
individual14,GX025_2,0.0083568178316897,2,25,2.0
individual15,GX025_2,0.0159962829401515,2,25,2.0
individual16,GX025_2,0.0127252476195046,2,25,2.0
individual17,GX025_2,0.0097631505690094,2,25,2.0
individual18,GX025_2,0.0129832069483614,2,25,2.0
individual2,GX025_2,0.1413160231936105,2,25,2.0
individual3,GX025_2,0.1355608232973638,2,25,2.0
individual4,GX025_2,0.0867546640857376,2,25,2.0
individual5,GX025_2,0.0698352686369383,2,25,2.0
individual6,GX025_2,0.0304432455597427,2,25,2.0
individual7,GX025_2,0.0193761144892732,2,25,2.0
individual8,GX025_2,0.0158592632205863,2,25,2.0
individual9,GX025_2,0.0106802563098825,2,25,2.0
individual19,GX025_2,0.0180219363386708,2,25,2.0
individual20,GX025_2,0.0184998293845302,2,25,2.0
individual1,GX026_2,0.2019803263246173,2,26,2.5
individual10,GX026_2,0.0068592270209707,2,26,2.5
individual11,GX026_2,0.006182758871601,2,26,2.5
individual12,GX026_2,0.0075889348743854,2,26,2.5
individual13,GX026_2,0.0131711957783861,2,26,2.5
individual14,GX026_2,0.0184808100747403,2,26,2.5
individual15,GX026_2,0.0146897319800041,2,26,2.5
individual16,GX026_2,0.0135578057130166,2,26,2.5
individual17,GX026_2,0.0244026086035685,2,26,2.5
individual18,GX026_2,0.0083131218147869,2,26,2.5
individual2,GX026_2,0.1410459690504908,2,26,2.5
individual3,GX026_2,0.1039684131558359,2,26,2.5
individual4,GX026_2,0.0682695135544542,2,26,2.5
individual5,GX026_2,0.0336180747529339,2,26,2.5
individual6,GX026_2,0.0296093666772987,2,26,2.5
individual7,GX026_2,0.0214773373783343,2,26,2.5
individual8,GX026_2,0.0252333982380353,2,26,2.5
individual9,GX026_2,0.0128759324232398,2,26,2.5
individual19,GX026_2,0.026458125402505,2,26,2.5
individual20,GX026_2,0.2329849917299196,2,26,2.5
individual1,GX027_2,0.1477379422932516,2,27,3.0
individual10,GX027_2,0.0105501117944723,2,27,3.0
individual11,GX027_2,0.0201083120431165,2,27,3.0
individual12,GX027_2,0.0117226072680127,2,27,3.0
individual13,GX027_2,0.011261191894789,2,27,3.0
individual14,GX027_2,0.0162582096154764,2,27,3.0
individual15,GX027_2,0.0128568081450748,2,27,3.0
individual16,GX027_2,0.0102472569350577,2,27,3.0
individual17,GX027_2,0.0104214052046838,2,27,3.0
individual18,GX027_2,0.016014397268415,2,27,3.0
individual2,GX027_2,0.192708131777572,2,27,3.0
individual3,GX027_2,0.1050970293923614,2,27,3.0
individual4,GX027_2,0.0501228250455977,2,27,3.0
individual5,GX027_2,0.0281271372830107,2,27,3.0
individual6,GX027_2,0.0160088909180065,2,27,3.0
individual7,GX027_2,0.0134759578731122,2,27,3.0
individual8,GX027_2,0.0164316567742838,2,27,3.0
individual9,GX027_2,0.0100383318653028,2,27,3.0
individual19,GX027_2,0.0130054766549753,2,27,3.0
individual20,GX027_2,0.0213172903918924,2,27,3.0
